date,firm_total_usd,USD,ETH,EUR,client:CoW DAO,client:Balancer DAO,client:ENS,client:Nexus Mutual,USD_dep,USD_apy,USD_bench,ETH_dep,ETH_apy,ETH_bench
2026-07-18,108794360.04,50630325.74,47507559.91,3157056.04,23150952.34,7159889.32,71745511.15,6738007.23,50244060.74,4.6752,3.51,46519369.51,2.2918,2.13
2026-07-19,109590337.52,50635534.03,48196384.64,3157402.21,23156844.85,7233521.39,72399482.22,6800489.06,50249270.21,4.4707,3.52,47194507.05,2.2655,2.13
2026-07-20,109538371.33,50639346.32,48146238.66,3155868.24,23144697.85,7210935.53,72355394.53,6827343.42,50253101.51,4.2992,3.52,47148855.14,2.2415,2.13
2026-07-21,112530272.38,51047064.58,50546182.47,3150326.21,23224964.63,8473897.58,73921317.73,6910092.44,50261204.78,4.5219,3.52,49156510.92,2.2323,2.13
2026-07-22,109135715.16,51072832.47,48352829.25,3150843.48,21819101.64,8633619.13,71748517.32,6934477.07,50269475.37,4.4542,3.52,46968203.31,2.2148,2.1
2026-07-23,110933702.13,51307647.79,49982048.43,3156955.01,21662801.3,8581032.35,73760211.64,6929656.84,51087892.16,4.6251,3.52,46883676.67,2.2277,2.1
2026-07-24,114896997.72,51577106.08,52913766.66,3144430.22,22676565.66,8498114.67,76872422.5,6849894.89,51575682.43,4.6314,3.52,51922162.49,2.2328,2.11
2026-07-25,112935352.14,51582745.17,52006176.94,3141204.53,21758504.1,8355402.72,76021383.17,6800062.15,51565322.71,4.6551,3.52,51032670.02,2.2761,2.11
2026-07-26,113837850.13,51591199.25,52803134.65,3140092.71,21777856.76,8421961.47,76777267.12,6860764.78,51573731.8,4.8197,3.53,51814113.17,2.3069,2.1
2026-07-27,116328586.18,51595646.29,54989533.73,3149869.24,21830696.36,8698620.59,78841144.03,6958125.2,51578121.52,4.7452,3.54,53957269.82,2.291,2.11
2026-07-28,113128839.25,51594271.58,51901483.13,3141188.28,21771697.58,7903580.72,76613578.3,6839982.65,51581008.6,4.7909,3.54,51639796.3,2.275,2.1
2026-07-29,113923007.38,51669740.37,52573372.36,3151164.7,21416413.77,7907508.65,77686560.94,6912524.02,51667493.15,4.6767,3.54,52369351.57,2.285,2.13
2026-07-30,114237506.29,51958283.31,52677281.84,3164282.95,21770542.17,7903080.89,77722834.59,6841048.64,51671259.62,4.8624,3.54,52406914.2,2.2825,2.13
2026-07-31,113246363.84,51964012.59,51576063.62,3179618.9,21794174.38,7880116.01,76808848.07,6763225.38,51676980.22,4.7374,3.54,51225089.0,2.2814,2.1399999999999997
2026-08-01,113480769.91,51974951.85,51939122.81,3185630.13,22175004.59,7771415.85,76799052.28,6735297.19,51964144.66,4.6826,3.54,51161528.91,2.2348,2.1399999999999997
2026-08-02,113502331.43,51978802.73,51916977.53,3182160.86,22168253.46,7815755.51,76781369.8,6736952.66,51967995.8,4.5825,3.54,51140138.76,2.2325,2.16
2026-08-03,112704750.4,51983304.55,51181740.61,3183303.84,22150249.92,7789768.15,76077572.24,6687160.09,51971390.41,4.5581,3.53,50415697.75,2.2467,2.15
2026-08-04,113707480.12,51989766.46,52133788.9,3179793.99,22324989.16,7793648.24,76835458.29,6753384.43,51425769.05,4.382,3.52,51190583.48,2.2462,2.16
2026-08-05,112992200.37,51532016.57,51905064.79,3184025.12,22133676.7,7783012.95,76885157.21,6190353.51,51528094.81,4.4982,3.52,51404389.78,2.2554,2.13
2026-08-06,114149903.33,51536094.42,53029563.93,3189671.1,22156474.54,7742508.76,77969900.17,6281019.86,51532132.8,4.1605,3.52,52518592.71,2.2522,2.13
